PXg_m,PXg_sd,PYg_m,PYg_sd,PZg_m,PZg_sd,HXg_m,HXg_sd,HYg_m,HYg_sd,HZg_m,HZg_sd,KXg_m,KXg_sd,KYg_m,KYg_sd,KZg_m,KZg_sd,AXg_m,AXg_sd,AYg_m,AYg_sd,AZg_m,AZg_sd
10.3796,4.92204,-2.73883,1.69471,-4.2567,2.83216,-7.29953,7.05718,-1.82121,2.71174,-7.86867,7.07298,18.7904,7.2501,-2.35698,2.88728,-13.2489,9.49552,11.4792,7.68752,-5.80544,3.53696,-1.91114,4.52937
10.264,4.93086,-3.10967,1.73524,-4.17166,2.80259,-6.78894,7.22679,-2.56642,2.80779,-8.55217,7.02448,21.2797,7.86369,-2.73555,2.98207,-13.12,9.59971,9.20246,8.72446,-5.92651,3.57184,-1.73291,4.54207
10.1328,4.93896,-3.48396,1.77258,-4.06721,2.76285,-6.08481,7.42638,-3.33047,2.87981,-9.20886,6.96471,24.0178,8.45847,-3.12918,3.09751,-12.9433,9.725,6.41263,9.61057,-5.985,3.6051,-1.63102,4.56439
9.98717,4.94485,-3.84908,1.8067,-3.95459,2.70924,-5.18777,7.64821,-4.09212,2.92374,-9.79592,6.9009,26.9853,8.99949,-3.52835,3.23269,-12.6849,9.87848,3.17831,10.1876,-5.95464,3.6379,-1.62313,4.5957
9.82968,4.94682,-4.19163,1.83826,-3.84539,2.64023,-4.10372,7.88305,-4.82847,2.94088,-10.277,6.84553,30.1492,9.45468,-3.92297,3.38557,-12.3201,10.0671,-0.37021,10.3406,-5.81723,3.66403,-1.72259,4.63011
9.66428,4.94324,-4.49793,1.86834,-3.7506,2.55668,-2.84287,8.12121,-5.51591,2.93708,-10.6266,6.81133,33.4627,9.79637,-4.3025,3.55486,-11.8386,10.2924,-4.03969,10.0405,-5.56615,3.66759,-1.93568,4.65894
9.49595,4.93286,-4.75436,1.89736,-3.6798,2.46186,-1.41763,8.35414,-6.13056,2.91866,-10.8316,6.805,36.8649,10.0039,-4.65716,3.74009,-11.2464,10.5496,-7.58744,9.3511,-5.20956,3.6313,-2.26,4.6733
9.33041,4.91574,-4.95038,1.92567,-3.63878,2.36069,0.153513,8.57362,-6.6532,2.89179,-10.8975,6.82567,40.2858,10.0668,-4.98049,3.9419,-10.5709,10.8226,-10.7725,8.45928,-4.77223,3.546,-2.68318,4.67012
9.17363,4.89282,-5.07798,1.95229,-3.62919,2.25786,1.85097,8.77293,-7.06783,2.8593,-10.8421,6.86259,43.6508,9.98426,-5.2687,4.15733,-9.85538,11.0907,-13.3778,7.61126,-4.28986,3.41546,-3.18755,4.65226
9.03123,4.86625,-5.13274,1.97577,-3.64828,2.15746,3.65346,8.94661,-7.36366,2.82224,-10.6934,6.90075,46.887,9.76435,-5.52104,4.38018,-9.15374,11.3338,-15.2528,7.03872,-3.80294,3.25622,-3.7526,4.62933
8.90848,4.83894,-5.11346,1.99435,-3.6896,2.0624,5.53924,9.09064,-7.53434,2.78029,-10.4844,6.92738,49.9251,9.42507,-5.73924,4.60178,-8.52517,11.5396,-16.3288,6.85445,-3.34946,3.09228,-4.35875,4.61632
8.80923,4.81422,-5.02245,2.00691,-3.74376,1.97463,7.48478,9.20254,-7.57884,2.73383,-10.248,6.93673,52.7012,8.99278,-5.9254,4.81367,-8.02414,11.713,-16.6242,6.99532,-2.95879,2.94759,-4.9857,4.62885
8.73567,4.79471,-4.8656,2.01341,-3.79962,1.89533,9.46652,9.28147,-7.5023,2.68589,-10.0136,6.92894,55.166,8.50096,-6.08185,5.00825,-7.68714,11.8758,-16.2307,7.28144,-2.64605,2.84118,-5.61622,4.67667
8.68844,4.7822,-4.65008,2.01356,-3.8459,1.82525,11.462,9.327,-7.31281,2.6405,-9.80396,6.90813,57.2777,7.98643,-6.20906,5.18071,-7.53009,12.0518,-15.2777,7.54353,-2.41425,2.7827,-6.23504,4.7597
8.66587,4.77751,-4.38564,2.00747,-3.8729,1.76578,13.4507,9.34083,-7.02446,2.60257,-9.63235,6.88186,59.0156,7.49102,-6.30612,5.3316,-7.53886,12.2539,-13.9217,7.68065,-2.25412,2.77073,-6.82909,4.87026
8.66506,4.77993,-4.08126,1.99504,-3.8727,1.71906,15.4138,9.32538,-6.65146,2.57383,-9.50523,6.85632,60.3645,7.05639,-6.37054,5.45983,-7.68437,12.4747,-12.3055,7.64873,-2.15235,2.79532,-7.38701,4.99423
8.68222,4.78812,-3.74578,1.97582,-3.83941,1.68802,17.3343,9.28371,-6.20927,2.55354,-9.42232,6.83688,61.316,6.71897,-6.39821,5.56458,-7.92404,12.6913,-10.555,7.45408,-2.09276,2.84138,-7.90059,5.11368
8.71271,4.80001,-3.38785,1.94992,-3.76977,1.67563,19.198,9.21976,-5.7144,2.53936,-9.37856,6.82683,61.875,6.50671,-6.38565,5.64276,-8.21256,12.8766,-8.76968,7.13294,-2.05901,2.89381,-8.36898,5.21496
8.75213,4.81343,-3.01529,1.9174,-3.66283,1.68391,20.9917,9.1368,-5.18254,2.52758,-9.36522,6.82801,62.0454,6.43298,-6.32907,5.69264,-8.51432,13.0094,-7.01912,6.72849,-2.03883,2.93959,-8.79301,5.28588
8.79672,4.82657,-2.63533,1.87834,-3.52018,1.71322,22.7041,9.03782,-4.62855,2.51464,-9.37194,6.84014,61.8349,6.49455,-6.22612,5.71246,-8.80694,13.0778,-5.34738,6.28628,-2.02423,2.96968,-9.17588,5.3178
8.84354,4.83803,-2.25458,1.83338,-3.345,1.76196,24.3256,8.92486,-4.06623,2.49842,-9.38808,6.86139,61.2546,6.67568,-6.0766,5.70098,-9.08626,13.0788,-3.77813,5.84136,-2.01198,2.98034,-9.52273,5.31009
8.89086,4.84677,-1.87899,1.78291,-3.14083,1.82698,25.8466,8.79885,-3.50769,2.47772,-9.405,6.88942,60.3098,6.95294,-5.88242,5.65588,-9.36226,13.0151,-2.3237,5.41403,-2.00326,2.97182,-9.8371,5.26618
8.93807,4.85238,-1.51391,1.72799,-2.91265,1.90506,27.2602,8.66005,-2.96371,2.45256,-9.41661,6.92013,59.014,7.30244,-5.64935,5.57675,-9.65754,12.8914,-0.989545,5.01138,-2.00253,2.94796,-10.1225,5.19963
8.98567,4.85461,-1.16404,1.66951,-2.66461,1.99273,28.5603,8.50828,-2.4431,2.42364,-9.42078,6.94924,57.3763,7.70224,-5.38516,5.46355,-9.9983,12.7145,0.218634,4.63302,-2.01594,2.91401,-10.3806,5.12596
9.0352,4.85368,-0.83366,1.60884,-2.40045,2.08732,29.7425,8.34323,-1.9533,2.39278,-9.4187,6.97248,55.4084,8.13415,-5.10012,5.31637,-10.4106,12.4936,1.2943,4.28067,-2.05067,2.87479,-10.6104,5.05984
9.08873,4.84997,-0.526328,1.5479,-2.12342,2.18699,30.805,8.165,-1.50025,2.36219,-9.41532,6.98635,53.1267,8.58321,-4.806,5.13582,-10.9124,12.2416,2.23135,3.95908,-2.11255,2.83508,-10.8116,5.01464
9.14854,4.84392,-0.245662,1.48879,-1.83561,2.29036,31.7455,7.9748,-1.08985,2.33346,-9.41826,6.98846,50.5435,9.03672,-4.51435,4.92408,-11.5156,11.9726,3.02081,3.67601,-2.20752,2.79933,-10.9811,4.99672
9.21648,4.8362,0.00595087,1.43415,-1.53847,2.39687,32.5672,7.77586,-0.725921,2.30977,-9.43567,6.97976,47.6836,9.47898,-4.23515,4.68614,-12.2174,11.7001,3.66146,3.44277,-2.3385,2.77124,-11.1146,5.00609
