,,New Patient:LElbAnglesXZY,,,New Patient:LShoAnglesXZY,,,New Patient:LShoAnglesYZY,,,New Patient:LWristAnglesXZY,,,New Patient:RElbAnglesXZY,,,New Patient:RShoAnglesXZY,,,New Patient:RShoAnglesYZY,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RSHOX,RSHOY,RSHOZ,X,Y,Z
83,0,29.5409,2.96E-10,-154.095,-11.6735,3.12297,30.3561,-74.909,12.0785,105.584,-23.29,-0.529509,1.11605,22.2899,-2.77E-10,148.851,-15.665,7.51241,-12.0812,-63.9693,17.3324,52.923
84,0,29.602,2.94E-10,-153.941,-11.6598,3.13264,30.1668,-74.8476,12.0677,105.334,-23.2698,-0.542239,1.11939,22.2917,-2.77E-10,148.896,-15.6864,7.51513,-12.1477,-63.9911,17.3528,52.88
85,0,29.6643,2.93E-10,-153.79,-11.6448,3.13842,29.9747,-74.8024,12.0547,105.097,-23.2503,-0.552804,1.12182,22.2902,-2.78E-10,148.945,-15.7102,7.51413,-12.2208,-64.0275,17.3738,52.8449
86,0,29.7278,2.92E-10,-153.639,-11.6289,3.13983,29.7809,-74.7764,12.0397,104.877,-23.2307,-0.559766,1.123,22.2846,-2.78E-10,148.998,-15.7363,7.50924,-12.2992,-64.0788,17.3952,52.8188
87,0,29.7928,2.90E-10,-153.491,-11.6127,3.13649,29.5868,-74.7718,12.0232,104.678,-23.2102,-0.561195,1.12273,22.275,-2.79E-10,149.055,-15.7643,7.50047,-12.3811,-64.1444,17.4167,52.8031
88,0,29.8592,2.89E-10,-153.343,-11.5966,3.12835,29.3945,-74.7898,12.0056,104.502,-23.1877,-0.555681,1.12091,22.2619,-2.79E-10,149.114,-15.7944,7.48812,-12.4638,-64.2236,17.4386,52.8
89,0,29.9267,2.88E-10,-153.198,-11.5808,3.11559,29.2067,-74.8297,11.9871,104.352,-23.1622,-0.542654,1.11765,22.2461,-2.80E-10,149.172,-15.8268,7.47264,-12.5444,-64.3153,17.4614,52.811
90,0,29.9947,2.86E-10,-153.056,-11.5652,3.09866,29.0259,-74.8893,11.9676,104.229,-23.1336,-0.521854,1.11319,22.2287,-2.80E-10,149.226,-15.8615,7.45465,-12.6197,-64.4175,17.4852,52.8377
91,0,30.0622,2.85E-10,-152.918,-11.5493,3.07813,28.8549,-74.9656,11.9471,104.132,-23.1026,-0.493548,1.10791,22.2105,-2.81E-10,149.273,-15.8984,7.4348,-12.6869,-64.5279,17.5102,52.8805
92,0,30.1281,2.84E-10,-152.782,-11.5324,3.05466,28.6957,-75.0547,11.9248,104.059,-23.0712,-0.458585,1.10227,22.192,-2.81E-10,149.311,-15.9367,7.41376,-12.7436,-64.6437,17.5362,52.9393
93,0,30.1909,2.82E-10,-152.649,-11.5137,3.02882,28.5498,-75.153,11.9002,104.008,-23.0417,-0.417704,1.09675,22.1736,-2.81E-10,149.339,-15.9759,7.39207,-12.7883,-64.7622,17.5626,53.0126
94,0,30.2494,2.81E-10,-152.516,-11.4922,3.0011,28.4179,-75.2572,11.8725,103.977,-23.0178,-0.372316,1.09176,22.1554,-2.81E-10,149.356,-16.0146,7.37018,-12.8201,-64.8803,17.5887,53.0984
95,0,30.3023,2.80E-10,-152.383,-11.4672,2.9718,28.2997,-75.3652,11.841,103.963,-23.0029,-0.32351,1.08768,22.1375,-2.81E-10,149.364,-16.0516,7.34838,-12.8393,-64.9957,17.6134,53.1939
96,0,30.3488,2.79E-10,-152.247,-11.4383,2.94124,28.1948,-75.475,11.8055,103.964,-23,-0.272959,1.0846,22.12,-2.81E-10,149.363,-16.0858,7.3269,-12.8465,-65.1059,17.6357,53.2961
97,0,30.3882,2.78E-10,-152.109,-11.4054,2.90959,28.1019,-75.5858,11.7659,103.978,-23.0113,-0.222465,1.08249,22.1033,-2.81E-10,149.355,-16.1162,7.30592,-12.8429,-65.2093,17.6548,53.4021
98,0,30.4203,2.77E-10,-151.968,-11.369,2.87726,28.0205,-75.6965,11.7228,104.003,-23.0373,-0.174207,1.08104,22.0883,-2.81E-10,149.342,-16.1421,7.28567,-12.8294,-65.3044,17.6701,53.5095
99,0,30.4452,2.75E-10,-151.827,-11.33,2.84477,27.9499,-75.8056,11.6771,104.038,-23.0774,-0.130641,1.07976,22.0761,-2.81E-10,149.323,-16.1633,7.26651,-12.8068,-65.3901,17.6818,53.6165
100,0,30.4632,2.74E-10,-151.688,-11.2895,2.81284,27.8903,-75.9111,11.6302,104.079,-23.1294,-0.0947675,1.07804,22.0681,-2.81E-10,149.297,-16.1801,7.24897,-12.7747,-65.4649,17.6901,53.722
101,0,30.4747,2.73E-10,-151.556,-11.2489,2.78246,27.8423,-76.0099,11.5837,104.126,-23.1898,-0.0695523,1.07527,22.0658,-2.81E-10,149.264,-16.1933,7.23378,-12.7327,-65.5279,17.696,53.8256
